candidate,scope,n,model_accuracy,model_log_loss,model_brier,market_accuracy,market_log_loss,beat_closing_line_rate,beat_closing_line_n,regression,prior_strength,home_field_weight,composite
reg=0.3_prior=3.0_home=0.02_wt=core_only,overall,2333,0.5713673381911701,0.6836940798631057,0.24529306164809914,0.6691855583543241,0.6066100785516633,0.3271869639794168,2332,0.3,3.0,0.02,core_only
reg=0.3_prior=3.0_home=0.02_wt=core_only,weeks_1_6,814,0.5614250614250614,0.6871072365015543,0.2469880251989397,0.6298076923076923,0.636911125040649,0.36654366543665434,813,0.3,3.0,0.02,core_only
reg=0.3_prior=3.0_home=0.02_wt=core_heavy,overall,2333,0.5889412773253322,0.6802567698556368,0.24358266354530425,0.6691855583543241,0.6066100785516633,0.3276157804459691,2332,0.3,3.0,0.02,core_heavy
reg=0.3_prior=3.0_home=0.02_wt=core_heavy,weeks_1_6,814,0.5773955773955773,0.684078544618985,0.2454816127095884,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.3,3.0,0.02,core_heavy
reg=0.3_prior=3.0_home=0.05_wt=live,overall,2333,0.6048006858122589,0.6766939631041754,0.24181220703373196,0.6691855583543241,0.6066100785516633,0.3323327615780446,2332,0.3,3.0,0.05,live
reg=0.3_prior=3.0_home=0.05_wt=live,weeks_1_6,814,0.5823095823095823,0.6813065710438272,0.24410414286597873,0.6298076923076923,0.636911125040649,0.3714637146371464,813,0.3,3.0,0.05,live
reg=0.3_prior=3.0_home=0.05_wt=core_only,overall,2333,0.571795970852979,0.6829175502424151,0.24490813081938773,0.6691855583543241,0.6066100785516633,0.330188679245283,2332,0.3,3.0,0.05,core_only
reg=0.3_prior=3.0_home=0.05_wt=core_only,weeks_1_6,814,0.5540540540540541,0.6870428848739162,0.24695581857644658,0.6298076923076923,0.636911125040649,0.36654366543665434,813,0.3,3.0,0.05,core_only
reg=0.3_prior=3.0_home=0.05_wt=core_heavy,overall,2333,0.5889412773253322,0.679525897686629,0.24322124521673003,0.6691855583543241,0.6066100785516633,0.3297598627787307,2332,0.3,3.0,0.05,core_heavy
reg=0.3_prior=3.0_home=0.05_wt=core_heavy,weeks_1_6,814,0.5712530712530712,0.6840478561673794,0.24546714093703823,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.3,3.0,0.05,core_heavy
reg=0.3_prior=6.0_home=0.0_wt=live,overall,2333,0.6108015430775825,0.6778432281150517,0.2423806028959168,0.6691855583543241,0.6066100785516633,0.33061749571183535,2332,0.3,6.0,0.0,live
reg=0.3_prior=6.0_home=0.0_wt=live,weeks_1_6,814,0.597051597051597,0.681268277705043,0.24408221048216255,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.3,6.0,0.0,live
reg=0.3_prior=6.0_home=0.0_wt=core_only,overall,2333,0.5679382768966995,0.6840413253512976,0.24546579957223075,0.6691855583543241,0.6066100785516633,0.3263293310463122,2332,0.3,6.0,0.0,core_only
reg=0.3_prior=6.0_home=0.0_wt=core_only,weeks_1_6,814,0.5515970515970516,0.686910193623589,0.2468906993487038,0.6298076923076923,0.636911125040649,0.3640836408364084,813,0.3,6.0,0.0,core_only
