name_first,name_last,PA_L,PA_R,probability_L,probability_R,probability,Game_Hit_Probability,Consistency,Approach,Expected_Bases
Marcell,Ozuna,57.0,134,0.5800478350007792,0.4253526533648686,0.47517215694797876,0.6251388888888889,0.14996673194091015,0.2970485942253962,0.8231914264473164
Shea,Langeliers,61.0,178,0.5245617008824077,0.5536323407573819,0.5463368742645498,0.6242924528301886,0.07795557856563884,0.34107398730619415,1.3397972320566462
Cam,Smith,55.0,168,0.5670495214582676,0.5677670744750885,0.5675901784941266,0.6229472693032015,0.055357090809074916,0.35357875177623294,1.382633528958018
Isaac,Paredes,55.0,170,0.7129168937724883,0.4742174364541972,0.5422400503541416,0.6226936026936027,0.08045355233946117,0.337649410479781,1.1231155346207558
George,Springer,44.0,129,0.5487055401596226,0.5375746375455112,0.5404240033151455,0.6221014492753623,0.08167744596021675,0.3361985556855452,1.2101729077657701
Kody,Clemens,36.0,149,0.5500335124722386,0.6102186461631074,0.5989874561822623,0.6199592074592075,0.020971751276945172,0.37134778861276213,1.5784147153135613
Austin,Hedges,40.0,47,0.6459856186767836,0.4842665753370833,0.5640154844100309,0.619102564102564,0.055087079692533125,0.34918343259179985,0.8615660919540229
Hunter,Goodman,63.0,166,0.6188111131025893,0.547696692398213,0.5681316271391672,0.617939393939394,0.049807766800226805,0.35107091335217877,1.3875678726913074
Taylor,Ward,70.0,197,0.5307560641807703,0.48485385128640823,0.4971849882739062,0.6175659133709981,0.12038092509709186,0.3070445013977239,0.7203082695256723
Blake,Dunn,25.0,48,0.641420137662228,0.5726013942704979,0.5971444310640948,0.6173202614379085,0.020175830373813763,0.3686293563006781,1.0881597672158458
Colson,Montgomery,73.0,172,0.5847936680036323,0.5581630741673611,0.5662217946884371,0.6138489413913143,0.047627146702877154,0.34757464926218723,1.4545468174460061
Munetaka,Murakami,70.0,171,0.4454070891845354,0.5615107268424866,0.5297789639858917,0.6137390350877193,0.08396007110182757,0.3251460301664728,1.7689070489147043
Josh,Bell,81.0,150,0.4486940568499258,0.6231520920464947,0.5673180610353784,0.6105317096696407,0.04321364863426225,0.3463656657303951,1.229129382131027
Brandon,Nimmo,66.0,186,0.48665925979911695,0.5479798486050342,0.5324557704467358,0.6100675186882083,0.07761174824147254,0.3248339706876583,1.121932252759146
Jake,Meyers,23.0,55,0.46355408419948363,0.6299092164971629,0.5853804217707106,0.608125,0.022744578229289436,0.3559844689893134,1.18721322537112
Drew,Gilbert,22.0,101,0.0,0.6667156058379082,0.5832140743575669,0.6068643162393162,0.023650241881749356,0.3539318104561506,1.4730643957509095
Drew,Millas,11.0,90,0.0,0.5470850105387521,0.5017044140277034,0.6054166666666667,0.10371225263896333,0.3037402139926054,1.2425796666205082
Alec,Bohm,67.0,151,0.40179934854861754,0.5718739806091138,0.5238803125124958,0.604010101010101,0.08012978849760521,0.31642900047787587,1.3451446556260116
Garrett,Mitchell,40.0,135,0.5986346813487617,0.5492871987535718,0.560928507911218,0.6012244897959185,0.040295981884700516,0.33724395598090784,1.3208581730769233
Matt,Chapman,65.0,182,0.5604038378429512,0.5686143157343431,0.5664643769640869,0.6006010671688637,0.03413669020477683,0.3402191093177761,1.2252538839277065
Joe,Mack,14.0,57,0.7313803092220577,0.5234683534805642,0.5713297529830379,0.6003246753246754,0.028994922341637475,0.3429833484628692,0.8385783450704226
Masyn,Winn,52.0,163,0.556444266001449,0.5087223687761737,0.5205849007815099,0.5994017094017094,0.07881680862019957,0.3120394794171563,0.9273588330286323
Ian,Happ,68.0,181,0.22989318466817166,0.6585976905087125,0.5653154832002529,0.5992445054945055,0.03392902229425254,0.33876219717872297,1.5536458372577242
Jo,Adell,73.0,179,0.6261911214593134,0.4804283809227108,0.5262081805933806,0.5980591334894614,0.07185095289608079,0.3147036085207432,1.2546556165970446
Jac,Caglianone,50.0,150,0.6328719022623868,0.5188553318438239,0.5494416235574688,0.597962962962963,0.04852133940549419,0.328545741197605,1.1085684137682492
Zach,Neto,72.0,200,0.3841575964222592,0.6264476817791549,0.5705538987617065,0.5968518518518519,0.026297953090145376,0.3405361510572185,1.3088540059014613
Oneil,Cruz,77.0,182,0.7003542477471846,0.5306644391220268,0.5868467174699661,0.5944284802043422,0.007581762734376163,0.34883840237857894,1.3915174336127492
Sal,Stewart,56.0,196,0.6551930813639406,0.5597983659912574,0.5824478483199977,0.5943659761456372,0.011918127825639502,0.3461871839206415,1.3803935185185185
Xander,Bogaerts,51.0,172,0.5712785439196689,0.5540436579681647,0.5580281271221561,0.5869162087912088,0.028888081669052657,0.32751575276939454,0.8823879136321897
Vaughn,Grissom,57.0,85,0.4283752893190226,0.6124746857756886,0.5446661307002043,0.5866776315789474,0.04201150087874306,0.31954343556046527,1.1056710054701915
Christian,Walker,52.0,192,0.5808543897966302,0.5475399702707416,0.5547928263503366,0.585925925925926,0.031133099575589407,0.3250675004763824,1.4556455621412758
Jeremiah,Jackson,49.0,123,0.4383941712278645,0.6023778324658359,0.559728984533162,0.5858333333333333,0.026104348800171318,0.32790789677234405,1.0578151137290903
Brett,Baty,39.0,156,0.5725116397024389,0.5425492952377815,0.5486580748288364,0.5858177933177933,0.03715971848895683,0.32141366268221766,1.034092316298199
Jared,Triolo,26.0,59,0.6601239243549513,0.5279515297334834,0.571696581591348,0.5849248120300752,0.013228230438727229,0.33439951552555575,0.9212112492693556
Daulton,Varsho,61.0,163,0.6044251991460299,0.5659183289630036,0.5766584535365262,0.584920634920635,0.008262181384108724,0.3372994287749364,1.3470033052918995
Sal,Frelick,57.0,138,0.46024784589490286,0.5828353050827283,0.5493147340504032,0.5834316037735849,0.03411686972318173,0.320487576263487,1.1211790450928383
Gavin,Sheets,28.0,157,0.4095741695751829,0.5886990726248269,0.5644987309260847,0.5802019230769231,0.015703192150838374,0.3275232492577969,1.2098921815728827
Nasim,Nuñez,57.0,137,0.6819055323906583,0.4192435253895006,0.5082641132408643,0.5795235849056604,0.07125947166479607,0.2945510409842422,0.7876839830326461
