consensus_rank,rank,player_name,TEAM,POS,BEST,WORST,AVG.,STD.DEV,source_url,consensus_score,sources_ranked_by,source_ranks,CNG,College,Ht,Wt,CLS,Pick
58,30,Denzel Boston,,WR,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,65.5,1,"{'DraftTek': 30.0, 'FantasyPros': None}",--,Washington,"6'4""",212,RJR,39
59,30,R Mason Thomas (Oklahoma),R Mason Thomas (Oklahoma),EDGE3,25,44.0,35.0,7.8,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,65.5,1,"{'DraftTek': None, 'FantasyPros': 30.0}",,,,,,
60,31,Anthony Hill Jr. (Texas),Anthony Hill Jr. (Texas),LB4,32,44.0,36.3,5.4,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,66.0,1,"{'DraftTek': None, 'FantasyPros': 31.0}",,,,,,
61,31,Max Iheanachor,,OT,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,66.0,1,"{'DraftTek': 31.0, 'FantasyPros': None}",--,Arizona State,"6'6""",321,RSR,21
62,32,Caleb Lomu,,OT,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,66.5,1,"{'DraftTek': 32.0, 'FantasyPros': None}",-5,Utah,"6'6""",313,RSO,28
63,32,Dillon Thieneman (Oregon),Dillon Thieneman (Oregon),S2,36,43.0,39.3,2.9,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,66.5,1,"{'DraftTek': None, 'FantasyPros': 32.0}",,,,,,
64,64,A.J. Haulcy,LSU,S,47,73.0,60.0,13.0,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,67.0,2,"{'DraftTek': 64.0, 'FantasyPros': 70.0}",--,LSU,"6'0""",215,SR,78
65,33,Akheem Mesidor (Miami,FL,DT4,30,54.0,41.0,9.9,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,67.0,1,"{'DraftTek': None, 'FantasyPros': 33.0}",,,,,,
66,33,Peter Woods,,DL3T,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,67.0,1,"{'DraftTek': 33.0, 'FantasyPros': None}",-7,Clemson,"6'2""",298,JR,29
67,34,Malachi Lawrence,,EDGE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,67.5,1,"{'DraftTek': 34.0, 'FantasyPros': None}",+5,UCF,"6'4""",253,RSR,23
68,34,T.J. Parker (Clemson),T.J. Parker (Clemson),EDGE4,17,80.0,41.3,27.6,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,67.5,1,"{'DraftTek': None, 'FantasyPros': 34.0}",,,,,,
69,35,Akheem Mesidor,,EDGE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,68.0,1,"{'DraftTek': 35.0, 'FantasyPros': None}",--,Miami (FL),"6'3""",259,RSR,22
70,35,Emmanuel Pregnon (Oregon),Emmanuel Pregnon (Oregon),OG2,33,49.0,41.3,6.5,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,68.0,1,"{'DraftTek': None, 'FantasyPros': 35.0}",,,,,,
71,36,D’Angelo Ponds (Indiana),D’Angelo Ponds (Indiana),CB5,39,45.0,43.0,2.8,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,68.5,1,"{'DraftTek': None, 'FantasyPros': 36.0}",,,,,,
72,37,Kamari Ramsey,USC,S3,37,54.0,44.0,7.3,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,68.5,2,"{'DraftTek': 100.0, 'FantasyPros': 37.0}",--,USC,"6'0""",202,RJR,141
73,36,Lee Hunter,,DL1T,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,68.5,1,"{'DraftTek': 36.0, 'FantasyPros': None}",--,Texas Tech,"6'3""",318,RSR,49
74,37,Brandon Cisse,,CB,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,69.0,1,"{'DraftTek': 37.0, 'FantasyPros': None}",--,South Carolina,"6'0""",189,JR,52
75,38,Cashius Howell,,EDGE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,69.5,1,"{'DraftTek': 38.0, 'FantasyPros': None}",--,Texas A&M,"6'2""",253,RSR,41
76,38,Gabe Jacas (Illinois),Gabe Jacas (Illinois),EDGE5,30,66.0,45.7,15.1,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,69.5,1,"{'DraftTek': None, 'FantasyPros': 38.0}",,,,,,
77,39,C.J. Allen,,OLB,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,70.0,1,"{'DraftTek': 39.0, 'FantasyPros': None}",--,Georgia,"6'1""",230,JR,53
78,39,Isaiah World (Oregon),Isaiah World (Oregon),OT5,37,62.0,45.7,11.6,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,70.0,1,"{'DraftTek': None, 'FantasyPros': 39.0}",,,,,,
79,40,Christen Miller,,DL1T,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,70.5,1,"{'DraftTek': 40.0, 'FantasyPros': None}",--,Georgia,"6'4""",321,RJR,42
80,40,Romello Height (Texas Tech),Romello Height (Texas Tech),EDGE6,28,62.0,46.0,13.9,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,70.5,1,"{'DraftTek': None, 'FantasyPros': 40.0}",,,,,,
81,41,Chase Bisontis,,OG,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,71.0,1,"{'DraftTek': 41.0, 'FantasyPros': None}",+4,Texas A&M,"6'5""",315,JR,34
82,41,Ja’Kobi Lane,USC,WR7,32,60.0,46.3,11.4,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,71.0,1,"{'DraftTek': None, 'FantasyPros': 41.0}",,,,,,
83,42,Gabe Jacas,,EDGE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,71.5,1,"{'DraftTek': 42.0, 'FantasyPros': None}",--,Illinois,"6'4""",260,SR,55
84,42,Zion Young (Missouri),Zion Young (Missouri),EDGE7,15,80.0,48.0,26.6,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,71.5,1,"{'DraftTek': None, 'FantasyPros': 42.0}",,,,,,
85,43,Germie Bernard (Alabama),Germie Bernard (Alabama),WR8,41,58.0,48.7,7.0,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,72.0,1,"{'DraftTek': None, 'FantasyPros': 43.0}",,,,,,
86,43,Jacob Rodriguez,,ILB,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,72.0,1,"{'DraftTek': 43.0, 'FantasyPros': None}",+10,Texas Tech,"6'1""",231,RSR,43
87,44,Connor Lew (Auburn),Connor Lew (Auburn),OG3,46,55.0,51.3,3.9,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,72.5,1,"{'DraftTek': None, 'FantasyPros': 44.0}",,,,,,
88,44,D'Angelo Ponds,,CBN,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,72.5,1,"{'DraftTek': 44.0, 'FantasyPros': None}",--,Indiana,"5'9""",182,JR,50
89,45,Dani Dennis-Sutton (),Dani Dennis-Sutton (),EDGE8,29,69.0,52.0,16.9,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,73.0,1,"{'DraftTek': None, 'FantasyPros': 45.0}",,,,,,
90,45,R Mason Thomas,,EDGE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,73.0,1,"{'DraftTek': 45.0, 'FantasyPros': None}",--,Oklahoma,"6'2""",241,SR,40
91,46,Colton Hood (Tennessee),Colton Hood (Tennessee),CB6,31,34.0,32.5,1.5,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,73.5,1,"{'DraftTek': None, 'FantasyPros': 46.0}",,,,,,
92,46,Keionte Scott,,CB,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,73.5,1,"{'DraftTek': 46.0, 'FantasyPros': None}",--,Miami (FL),"5'11""",193,RSR,116
93,47,Emmanuel Pregnon,,OG,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,74.0,1,"{'DraftTek': 47.0, 'FantasyPros': None}",-4,Oregon,"6'4""",314,RSR,88
94,47,Gennings Dunker (Iowa),Gennings Dunker (Iowa),OT6,34,42.0,38.0,4.0,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,74.0,1,"{'DraftTek': None, 'FantasyPros': 47.0}",,,,,,
95,48,Avieon Terrell,,CBN,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,74.5,1,"{'DraftTek': 48.0, 'FantasyPros': None}",--,Clemson,"5'11""",186,JR,48
96,48,Harold Perkins Jr.,LSU,LB5,35,89.0,56.3,23.5,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,74.5,1,"{'DraftTek': None, 'FantasyPros': 48.0}",,,,,,
97,49,Chris Brazzell II,,WR,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,75.0,1,"{'DraftTek': 49.0, 'FantasyPros': None}",+10,Tennessee,"6'4""",198,RJR,83
98,49,Jake Slaughter (Florida),Jake Slaughter (Florida),OG4,50,73.0,60.0,9.6,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,75.0,1,"{'DraftTek': None, 'FantasyPros': 49.0}",,,,,,
99,50,Caleb Banks,,DL1T,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,75.5,1,"{'DraftTek': 50.0, 'FantasyPros': None}",--,Florida,"6'6""",327,RSR,18
100,50,Deontae Lawson (Alabama),Deontae Lawson (Alabama),LB6,43,81.0,60.3,15.7,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,75.5,1,"{'DraftTek': None, 'FantasyPros': 50.0}",,,,,,
101,51,Jadarian Price,,RB,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,76.0,1,"{'DraftTek': 51.0, 'FantasyPros': None}",--,Notre Dame,"5'11""",203,RJR,32
102,51,Monroe Freeling (Georgia),Monroe Freeling (Georgia),OT7,29,62.0,45.5,16.5,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,76.0,1,"{'DraftTek': None, 'FantasyPros': 51.0}",,,,,,
103,52,Anthony Hill Jr.,,ILB,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,76.5,1,"{'DraftTek': 52.0, 'FantasyPros': None}",-10,Texas,"6'2""",238,JR,60
104,52,Keith Abney II (Arizona State),Keith Abney II (Arizona State),CB7,40,51.0,45.5,5.5,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,76.5,1,"{'DraftTek': None, 'FantasyPros': 52.0}",,,,,,
105,53,Joshua Josephs (Tennessee),Joshua Josephs (Tennessee),EDGE9,40,56.0,48.0,8.0,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,77.0,1,"{'DraftTek': None, 'FantasyPros': 53.0}",,,,,,
106,53,Keylan Rutledge,,OG,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,77.0,1,"{'DraftTek': 53.0, 'FantasyPros': None}",+15,Georgia Tech,"6'4""",316,SR,26
107,54,Chris Johnson (San Diego State),Chris Johnson (San Diego State),CB8,35,63.0,49.0,14.0,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,77.5,1,"{'DraftTek': None, 'FantasyPros': 54.0}",,,,,,
108,54,Zion Young,,EDGE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,77.5,1,"{'DraftTek': 54.0, 'FantasyPros': None}",--,Missouri,"6'6""",262,SR,45
