key_mlbam,name_first,name_last,team,opponent,dk_slot,DK_Points,Estimated_Salary
690984,Petey,Halpin,CLE,TB,OF,3.553635834807056,4100.0
656811,Ryan,O'Hearn,PIT,CHC,OF,3.5512920767533878,4100.0
630105,Jake,Cronenworth,SD,MIA,2B,3.54801623231841,4100.0
516782,Starling,Marte,KC,DET,OF,3.5348644035604115,4000.0
695508,Cameron,Cauley,TEX,SEA,OF,3.5313264202345622,4000.0
682657,Angel,Martínez,CLE,TB,OF,3.528796534921256,4000.0
671289,Tyler,Freeman,COL,MIL,OF,3.527939176865688,4000.0
678489,Jorge,Barrosa,AZ,WSH,OF,3.520768736235965,4000.0
500743,Miguel,Rojas,LAD,NYM,2B,3.519068152024972,4000.0
687859,Troy,Johnston,COL,MIL,OF,3.51243060213149,4000.0
608369,Corey,Seager,TEX,SEA,SS,3.511273081092817,4000.0
696030,Alejandro,Osuna,TEX,SEA,OF,3.511258889858927,4000.0
669397,Nick,Allen,HOU,CWS,SS,3.501369700242619,4000.0
694497,Evan,Carter,TEX,SEA,OF,3.5006458717632696,4000.0
699625,Jimmy,Crooks,STL,CIN,C,3.498746812958974,4000.0
690993,Colt,Keith,DET,KC,3B,3.496349098466617,4000.0
645302,Víctor,Robles,SEA,TEX,OF,3.494040280554421,4000.0
553869,Elías,Díaz,TEX,SEA,C,3.492579323550728,3900.0
666969,Adolis,García,PHI,NYY,OF,3.487513150658938,3900.0
678218,Brandon,Valenzuela,TOR,BOS,C,3.4842143340859626,3900.0
694410,LuJames,Groover,AZ,WSH,1B,3.483504628719092,3900.0
679845,Nick,Loftin,KC,DET,3B,3.477965416003039,3900.0
683734,Andrew,Vaughn,MIL,COL,1B,3.477965416003039,3900.0
621438,Tyrone,Taylor,NYM,LAD,OF,3.4760278089436607,3900.0
686217,Sal,Frelick,MIL,COL,OF,3.474951414599821,3900.0
672960,Kazuma,Okamoto,TOR,BOS,3B,3.471393995543343,3900.0
656305,Matt,Chapman,SF,LAA,3B,3.4692200301343568,3900.0
687462,Spencer,Horwitz,PIT,CHC,1B,3.4673107282361006,3900.0
665833,Oneil,Cruz,PIT,CHC,OF,3.4673107282361006,3900.0
676609,José,Caballero,NYY,PHI,SS,3.4588074652112835,3900.0
672724,Oswald,Peraza,LAA,SF,2B,3.4571686854413417,3900.0
691785,Marcelo,Mayer,BOS,TOR,2B,3.453275304396016,3900.0
608348,Carson,Kelly,CHC,PIT,C,3.448998633666082,3900.0
670032,Nicky,Lopez,TEX,SEA,2B,3.4484296966088546,3900.0
702222,Justin,Crawford,PHI,NYY,OF,3.439829793972069,3800.0
656537,Derek,Hill,PHI,NYY,OF,3.430761512993347,3800.0
543877,Christian,Vázquez,HOU,CWS,C,3.4275332130264395,3800.0
701762,Nick,Kurtz,ATH,MIN,1B,3.426538148626752,3800.0
701675,Nathan,Church,STL,CIN,OF,3.421395997486272,3800.0
682622,Noelvi,Marte,CIN,STL,OF,3.4167960439120533,3800.0
672580,Maikel,García,KC,DET,3B,3.4123524647739054,3800.0
680574,Matt,McLain,CIN,STL,2B,3.4123524647739054,3800.0
642215,Weston,Wilson,SEA,TEX,3B,3.409352829699909,3800.0
694362,Blake,Dunn,CIN,STL,OF,3.4041072604461537,3800.0
681393,Connor,Norby,MIA,SD,1B,3.379285786694981,3700.0
656577,Alex,Jackson,MIN,ATH,C,3.378179599703972,3700.0
660670,Ronald,Acuña,ATL,BAL,OF,3.372832129921546,3700.0
669357,Nolan,Gorman,STL,CIN,3B,3.3703486665767577,3700.0
666139,Josh,Lowe,LAA,SF,OF,3.366033640327403,3700.0
681351,Logan,O'Hoppe,LAA,SF,C,3.364334074407368,3700.0
668901,Mark,Vientos,NYM,LAD,1B,3.3588634188269517,3700.0
669257,Will,Smith,LAD,NYM,C,3.3582182223738566,3700.0
669701,Josh,Smith,TEX,SEA,2B,3.3469836182697037,3600.0
669384,Raynel,Delgado,HOU,CWS,2B,3.344464675265136,3600.0
665926,Andrés,Giménez,TOR,BOS,SS,3.3397655877697856,3600.0
805347,Jim,Jarvis,ATL,BAL,SS,3.335056339022512,3600.0
668885,Austin,Martin,MIN,ATH,OF,3.331033530352054,3600.0
622761,Jorge,Mateo,ATL,BAL,SS,3.3292154779713488,3600.0
596115,Trevor,Story,BOS,TOR,SS,3.3285714635750847,3600.0
642201,Eli,White,ATL,BAL,OF,3.321573930000276,3600.0
663837,Matt,Vierling,DET,KC,OF,3.3040756073058275,3500.0
670770,TJ,Friedl,CIN,STL,OF,3.298867193668617,3500.0
681481,Kerry,Carpenter,DET,KC,OF,3.298867193668617,3500.0
