key_mlbam,name,metric,age,value,n_comparables,n_with_next_season,projected_value_mean,projected_value_p25,projected_value_p75
676083,Janson Junk,FIP,30,4.273913043478261,25.0,19.0,4.096115537408927,3.7891636670666133,4.49764392931788
676106,Emerson Hancock,K9,27,8.422018348623853,25.0,20.0,8.098204746212312,7.120202558635395,8.592018718702805
676106,Emerson Hancock,BB9,27,2.146788990825688,25.0,19.0,2.486829852005292,1.9616907831573172,2.6941019614932658
676106,Emerson Hancock,HR9,27,1.1559633027522935,,,0.9885771183308576,0.9885771183308576,0.9885771183308576
676106,Emerson Hancock,FIP,27,3.7238532110091747,25.0,18.0,4.179351034804644,3.818388310185185,4.405391245563631
676282,Joey Cantillo,K9,26,10.145454545454545,25.0,15.0,9.496735306907546,8.461707016314328,10.420371641919148
676282,Joey Cantillo,BB9,26,4.418181818181818,25.0,15.0,4.120849010909441,3.552561190481245,4.836594159355847
676282,Joey Cantillo,HR9,26,1.0636363636363637,,,0.9055146843111316,0.9055146843111316,0.9055146843111316
676282,Joey Cantillo,FIP,26,3.909090909090909,25.0,18.0,3.988973583481941,3.7781438234422833,4.339993215739485
676440,Tanner Bibee,K9,27,7.03125,25.0,19.0,6.613682579704799,5.7172587486744435,6.899163304058866
676440,Tanner Bibee,BB9,27,2.671875,25.0,20.0,2.9374147617343924,2.388302752293578,3.714190151217596
676440,Tanner Bibee,HR9,27,1.40625,,,1.134904127498329,1.134904127498329,1.134904127498329
676440,Tanner Bibee,FIP,27,4.553125,25.0,20.0,4.634868309244518,4.02763833721408,5.023056722689075
676760,Ron Marinaccio,K9,30,7.2,25.0,15.0,7.330961183363953,6.686749297214414,7.816677772489291
676760,Ron Marinaccio,BB9,30,3.42,25.0,14.0,3.187368711429037,2.9423619739207005,3.472992460004397
676760,Ron Marinaccio,HR9,30,1.8,,,1.0630163886037123,1.0630163886037123,1.0630163886037123
676760,Ron Marinaccio,FIP,30,5.48,25.0,11.0,4.869305484158417,4.360473372781065,5.3061564730713595
676879,Aaron Ashby,K9,28,12.589887640449438,25.0,17.0,11.686095756410708,10.91095890410959,11.98314606741573
676879,Aaron Ashby,BB9,28,4.550561797752809,25.0,13.0,4.2822816835061035,3.8802395209580838,4.780327868852459
676879,Aaron Ashby,HR9,28,0.7584269662921348,,,0.8340844392602987,0.8340844392602987,0.8340844392602987
676879,Aaron Ashby,FIP,28,3.0157303370786517,25.0,18.0,3.7290186571612,3.401499348109518,4.141938712657838
676917,Cade Cavalli,K9,27,10.384615384615385,25.0,17.0,10.342601098981806,9.265682656826568,11.149253731343284
676917,Cade Cavalli,BB9,27,2.8757396449704142,25.0,20.0,3.020260152059662,2.3652988294485584,3.2762032637884735
676917,Cade Cavalli,HR9,27,0.7988165680473372,,,0.8586147901886919,0.8586147901886919,0.8586147901886919
676917,Cade Cavalli,FIP,27,3.224260355029586,25.0,19.0,3.5634458845322228,2.898948966102525,4.085282258064517
676962,Ben Brown,K9,26,8.863636363636363,25.0,18.0,8.257917504637682,7.657711903659101,9.291891891891892
676962,Ben Brown,BB9,26,2.590909090909091,25.0,18.0,2.8734661807593205,2.471308954203691,3.385905161121299
676962,Ben Brown,HR9,26,0.2727272727272727,,,0.5999857381397142,0.5999857381397142,0.5999857381397142
676962,Ben Brown,FIP,26,2.478787878787879,25.0,18.0,2.901587881328222,2.5891315789473683,3.344948377581121
676974,Max Meyer,K9,27,10.083333333333334,25.0,14.0,9.468907204855169,9.158998871886842,9.77844771099074
676974,Max Meyer,BB9,27,3.4166666666666665,25.0,19.0,3.254338182770322,2.7412053341775158,3.6256419868791
676974,Max Meyer,HR9,27,0.9166666666666666,,,0.8764930458209893,0.8764930458209893,0.8764930458209893
676974,Max Meyer,FIP,27,3.5166666666666666,25.0,19.0,3.5945383951944443,3.363694664790174,3.8709299816592946
677865,Justin Bruihl,K9,29,6.973509933774834,25.0,15.0,6.916484345044395,6.132330286535895,7.602352941176471
677865,Justin Bruihl,BB9,29,3.3973509933774833,25.0,19.0,3.25662721587578,2.6314496314496316,3.7376033057851235
677865,Justin Bruihl,HR9,29,0.3576158940397351,,,0.693075962291452,0.693075962291452,0.693075962291452
677865,Justin Bruihl,FIP,29,3.676158940397351,25.0,19.0,3.9489066374532475,3.500692527236719,4.243708750266127
