player_id,player_display_name,position,season,team,games_played,possible_games,games_missed,dk_points_total,dk_points_per_game,games_missed_prior_season,avg_offense_pct
00-0031381,Davante Adams,WR,2025,LA,14,17,3,225.9,16.135714285714286,3.0,0.7142857142857143
00-0034348,Courtland Sutton,WR,2025,DEN,17,17,0,225.70000000000002,13.276470588235295,1.0,0.8535294117647059
00-0031588,Stefon Diggs,WR,2025,NE,17,17,0,225.3,13.25294117647059,9.0,0.5376470588235295
00-0037228,Jaylen Warren,RB,2025,PIT,16,17,1,223.1,13.94375,2.0,0.5075000000000001
00-0036919,Kenny Gainwell,RB,2025,PIT,17,17,0,222.3,13.076470588235296,0.0,0.4964705882352941
00-0039163,C.J. Stroud,QB,2025,HOU,14,17,3,219.54,15.68142857142857,0.0,0.9121428571428571
00-0040124,Tetairoa McMillan,WR,2025,CAR,17,17,0,219.4,12.905882352941177,,0.871764705882353
00-0036358,CeeDee Lamb,WR,2025,DAL,13,17,4,218.9,16.838461538461537,2.0,0.7285714285714285
00-0037238,Drake London,WR,2025,ATL,12,17,5,217.89999999999998,18.15833333333333,0.0,0.9066666666666666
00-0038120,Breece Hall,RB,2025,NYJ,16,17,1,217.5,13.59375,1.0,0.64375
00-0036410,Tee Higgins,WR,2025,CIN,15,17,2,214.6,14.306666666666667,5.0,0.8086666666666666
00-0036970,Kyle Pitts,TE,2025,ATL,17,17,0,213.8,12.576470588235296,0.0,0.88
00-0040734,TreVeyon Henderson,RB,2025,NE,17,17,0,213.20000000000002,12.541176470588237,,0.4588235294117647
00-0036322,Justin Jefferson,WR,2025,MIN,17,17,0,210.5,12.382352941176471,0.0,0.9417647058823531
00-0036912,DeVonta Smith,WR,2025,PHI,17,17,0,207.79999999999998,12.223529411764705,4.0,0.8441176470588235
00-0040676,Cam Ward,QB,2025,TEN,17,17,0,207.66,12.215294117647058,,0.9464705882352941
00-0040730,RJ Harvey,RB,2025,DEN,17,17,0,207.6,12.211764705882352,,0.4211764705882353
00-0036252,Michael Pittman,WR,2025,IND,17,17,0,205.4,12.08235294117647,1.0,0.8552941176470588
00-0040129,Emeka Egbuka,WR,2025,TB,17,17,0,204.7,12.041176470588235,,0.776470588235294
00-0038134,Kenneth Walker III,RB,2025,SEA,17,17,0,197.9,11.641176470588235,6.0,0.4688235294117647
00-0035261,Tony Pollard,RB,2025,TEN,17,17,0,197.8,11.63529411764706,1.0,0.6247058823529412
00-0037834,Brock Purdy,QB,2025,SF,9,17,8,197.38,21.93111111111111,2.0,0.9777777777777779
00-0036613,Jaylen Waddle,WR,2025,MIA,16,17,1,196.8,12.3,2.0,0.77625
00-0030565,Geno Smith,QB,2025,LV,15,17,2,195.9,13.06,0.0,0.9646666666666667
00-0030506,Travis Kelce,TE,2025,KC,17,17,0,193.20000000000002,11.364705882352942,1.0,0.8188235294117647
00-0035640,DK Metcalf,WR,2025,PIT,15,17,2,193.2,12.879999999999999,2.0,0.8726666666666667
00-0040663,Harold Fannin Jr.,TE,2025,CLE,16,17,1,190.4,11.9,,0.759375
00-0038041,Jake Ferguson,TE,2025,DAL,17,17,0,190.1,11.18235294117647,3.0,0.6670588235294117
00-0037664,Alec Pierce,WR,2025,IND,15,17,2,189.3,12.620000000000001,1.0,0.8593333333333334
00-0040128,Tyler Warren,TE,2025,IND,17,17,0,188.5,11.088235294117647,,0.8382352941176471
00-0035719,Deebo Samuel Sr.,WR,2025,WAS,16,17,1,188.20000000000002,11.762500000000001,2.0,0.7225
00-0034351,Dallas Goedert,TE,2025,PHI,15,17,2,188.1,12.54,7.0,0.846
00-0039915,Ladd McConkey,WR,2025,LAC,16,17,1,186.9,11.68125,1.0,0.775
00-0030279,Keenan Allen,WR,2025,LAC,17,17,0,185.7,10.923529411764704,2.0,0.5547058823529412
00-0036875,Rhamondre Stevenson,RB,2025,NE,14,17,3,184.8,13.200000000000001,2.0,0.5935714285714286
00-0039165,Zach Charbonnet,RB,2025,SEA,16,17,1,184.4,11.525,0.0,0.48375
00-0039338,Brock Bowers,TE,2025,LV,12,17,5,182.2,15.183333333333332,0.0,0.8591666666666667
